date,distance_km,duration_min,pace_min_km,avg_hr,max_hr,hr_z1_pct,hr_z2_pct,hr_z3_pct,hr_z4_pct,hr_z5_pct,avg_cadence,max_cadence,vo2max,aerobic_te,anaerobic_te,avg_power,max_power,avg_speed_kmh,max_speed_kmh,stride_length_cm,ground_contact_ms,vertical_oscillation_cm,elevation_gain_m,calories,activity_name
2026-04-04,5.02,49.21,9.795,138.0,175.0,49.0,37.0,14.0,0.1,0.0,133.0,225.0,,3.1,0.2,153.0,266.0,6.13,8.8,76.5,275.0,6.4,0.0,360.0,Treadmill Running
2026-04-08,3.52,32.5,9.22,135.0,160.0,54.7,45.3,0.0,0.0,0.0,139.0,179.0,,3.0,0.1,171.0,264.0,6.51,8.83,78.6,283.0,6.8,0.0,232.0,Treadmill Running
2026-04-09,4.03,38.23,9.49,140.0,174.0,32.4,52.4,15.2,0.0,0.0,135.0,225.0,,3.3,0.0,161.0,314.0,6.32,10.08,77.8,279.0,6.6,0.0,295.0,Treadmill Running
2026-04-09,4.02,39.08,9.724,130.0,157.0,46.4,53.6,0.0,0.0,0.0,135.0,176.0,,3.0,0.0,161.0,255.0,6.17,8.4,77.2,287.0,6.7,0.0,261.0,Treadmill Running
2026-04-10,4.02,38.23,9.513,137.0,168.0,45.4,47.5,7.1,0.0,0.0,136.0,176.0,,3.1,0.1,163.0,259.0,6.31,8.56,77.3,286.0,6.7,0.0,286.0,Treadmill Running
2026-04-16,5.03,45.98,9.147,140.0,165.0,27.5,72.5,0.0,0.0,0.0,140.0,177.0,,3.6,0.0,176.0,269.0,6.56,9.24,78.1,290.0,7.0,0.0,356.0,Treadmill Running
2026-04-17,5.04,63.05,12.523,141.0,171.0,39.9,42.8,17.3,0.0,0.0,113.0,176.0,,3.4,0.0,118.0,259.0,4.79,8.73,76.2,289.0,6.3,0.0,472.0,Treadmill Running
2026-04-18,7.02,68.26,9.722,149.0,179.0,44.9,35.4,19.5,0.1,0.0,136.0,177.0,,4.2,0.9,158.0,264.0,6.17,8.67,76.5,285.0,6.6,0.0,555.0,Treadmill Running
2026-04-19,6.07,57.77,9.514,160.0,180.0,29.8,34.7,31.1,4.4,0.0,149.0,185.0,38.0,3.4,0.4,180.0,313.0,6.31,10.28,69.7,286.0,6.7,4.0,442.0,Khlong Toei Running
2026-04-20,5.5,59.94,10.897,151.0,160.0,67.0,33.0,0.0,0.0,0.0,90.0,143.0,,4.0,0.0,76.0,165.0,5.5,5.75,74.6,454.0,5.8,0.0,509.0,Treadmill Running
2026-04-21,5.02,57.22,11.397,148.0,178.0,38.1,52.4,9.4,0.0,0.0,129.0,181.0,38.0,2.7,0.0,149.0,256.0,5.26,8.06,66.3,287.0,6.5,13.0,359.0,Khlong Toei Running
2026-04-22,3.0,31.02,10.341,119.0,163.0,79.4,20.6,0.0,0.0,0.0,130.0,177.0,,2.2,0.1,244.0,478.0,5.8,16.46,130.2,248.0,7.6,0.0,162.0,Treadmill Running
